"","Datetime","AQI","PM2.5","PM10","SO2","CO","NO2","O3_8h","kmean"
"1",2015-10-01,60,39,70,14,0.9,27,104,4
"2",2015-10-02,88,35,92,18,0.9,40,145,1
"3",2015-10-03,114,38,68,13,0.7,32,175,1
"4",2015-10-04,85,28,44,11,0.6,31,141,2
"5",2015-10-05,57,28,37,10,0.7,45,97,2
"6",2015-10-06,72,21,34,11,0.6,34,126,2
"7",2015-10-07,75,18,33,11,0.6,22,130,2
"8",2015-10-08,50,18,36,10,0.6,32,100,2
"9",2015-10-09,104,78,107,25,1.1,60,129,3
"10",2015-10-10,85,63,96,26,1,60,129,4
"11",2015-10-11,83,57,100,28,1,66,126,3
"12",2015-10-12,109,82,128,29,1.3,94,153,3
"13",2015-10-13,132,100,144,31,1.4,115,180,3
"14",2015-10-14,133,101,138,22,1.2,99,155,3
"15",2015-10-15,79,30,47,13,0.6,50,134,4
"16",2015-10-16,85,41,56,15,0.7,50,141,4
"17",2015-10-17,67,32,48,15,0.6,53,113,4
"18",2015-10-18,89,42,52,13,0.7,38,146,1
"19",2015-10-19,84,41,55,15,0.6,43,140,1
"20",2015-10-20,73,36,50,14,0.6,42,127,2
"21",2015-10-21,90,47,67,15,0.7,46,148,1
"22",2015-10-22,114,82,105,15,0.9,47,175,1
"23",2015-10-23,73,43,69,14,0.7,47,127,4
"24",2015-10-24,64,46,62,15,0.7,39,111,4
"25",2015-10-25,63,45,63,14,0.8,37,109,4
"26",2015-10-26,78,49,75,14,0.8,40,133,4
"27",2015-10-27,100,75,121,21,1.3,54,84,3
"28",2015-10-28,93,66,122,24,1,74,83,3
"29",2015-10-29,63,36,68,13,0.7,50,78,4
"30",2015-10-30,48,31,46,14,0.7,31,95,2
"31",2015-10-31,47,20,38,14,0.6,27,94,2
"32",2015-11-01,68,38,52,14,0.9,54,68,4
"33",2015-11-02,156,119,153,37,1.5,87,120,3
"34",2015-11-03,119,90,106,21,1.4,84,112,3
"35",2015-11-04,69,33,51,13,0.8,55,67,4
"36",2015-11-05,73,41,66,18,0.8,58,64,4
"37",2015-11-06,43,21,37,13,0.6,34,75,2
"38",2015-11-07,65,47,52,16,1.1,39,48,4
"39",2015-11-08,120,91,110,22,2.1,49,12,3
"40",2015-11-09,112,84,102,18,1.3,52,36,3
"41",2015-11-10,77,56,61,18,0.9,44,85,4
"42",2015-11-11,54,32,53,13,0.6,43,90,2
"43",2015-11-12,102,57,77,15,1,83,65,4
"44",2015-11-13,75,51,54,13,1.1,60,31,4
"45",2015-11-14,165,125,153,23,1.5,67,122,3
"46",2015-11-15,148,113,138,21,1.5,69,111,3
"47",2015-11-16,102,76,100,16,1.4,57,88,3
"48",2015-11-17,53,28,24,11,1,42,77,2
"49",2015-11-18,46,26,46,10,0.8,35,82,2
"50",2015-11-19,68,30,46,13,0.7,54,63,4
"51",2015-11-20,79,45,55,14,0.8,63,64,4
"52",2015-11-21,67,28,24,10,0.9,53,58,4
"53",2015-11-22,57,30,45,12,1,45,80,4
"54",2015-11-23,59,32,37,11,1.1,47,67,4
