Datetime,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
10/1/2015,60,39,70,14,0.9,27,104
10/2/2015,88,35,92,18,0.9,40,145
10/3/2015,114,38,68,13,0.7,32,175
10/4/2015,85,28,44,11,0.6,31,141
10/5/2015,57,28,37,10,0.7,45,97
10/6/2015,72,21,34,11,0.6,34,126
10/7/2015,75,18,33,11,0.6,22,130
10/8/2015,50,18,36,10,0.6,32,100
10/9/2015,104,78,107,25,1.1,60,129
10/10/2015,85,63,96,26,1,60,129
10/11/2015,83,57,100,28,1,66,126
10/12/2015,109,82,128,29,1.3,94,153
10/13/2015,132,100,144,31,1.4,115,180
10/14/2015,133,101,138,22,1.2,99,155
10/15/2015,79,30,47,13,0.6,50,134
10/16/2015,85,41,56,15,0.7,50,141
10/17/2015,67,32,48,15,0.6,53,113
10/18/2015,89,42,52,13,0.7,38,146
10/19/2015,84,41,55,15,0.6,43,140
10/20/2015,73,36,50,14,0.6,42,127
10/21/2015,90,47,67,15,0.7,46,148
10/22/2015,114,82,105,15,0.9,47,175
10/23/2015,73,43,69,14,0.7,47,127
10/24/2015,64,46,62,15,0.7,39,111
10/25/2015,63,45,63,14,0.8,37,109
10/26/2015,78,49,75,14,0.8,40,133
10/27/2015,100,75,121,21,1.3,54,84
10/28/2015,93,66,122,24,1,74,83
10/29/2015,63,36,68,13,0.7,50,78
10/30/2015,48,31,46,14,0.7,31,95
10/31/2015,47,20,38,14,0.6,27,94
11/1/2015,68,38,52,14,0.9,54,68
11/2/2015,156,119,153,37,1.5,87,120
11/3/2015,119,90,106,21,1.4,84,112
11/4/2015,69,33,51,13,0.8,55,67
11/5/2015,73,41,66,18,0.8,58,64
11/6/2015,43,21,37,13,0.6,34,75
11/7/2015,65,47,52,16,1.1,39,48
11/8/2015,120,91,110,22,2.1,49,12
11/9/2015,112,84,102,18,1.3,52,36
11/10/2015,77,56,61,18,0.9,44,85
11/11/2015,54,32,53,13,0.6,43,90
11/12/2015,102,57,77,15,1,83,65
11/13/2015,75,51,54,13,1.1,60,31
11/14/2015,165,125,153,23,1.5,67,122
11/15/2015,148,113,138,21,1.5,69,111
11/16/2015,102,76,100,16,1.4,57,88
11/17/2015,53,28,24,11,1,42,77
11/18/2015,46,26,46,10,0.8,35,82
11/19/2015,68,30,46,13,0.7,54,63
11/20/2015,79,45,55,14,0.8,63,64
11/21/2015,67,28,24,10,0.9,53,58
11/22/2015,57,30,45,12,1,45,80
11/23/2015,59,32,37,11,1.1,47,67
11/24/2015,35,19,34,9,0.8,26,69
11/25/2015,46,32,44,13,0.7,34,71
11/26/2015,69,50,68,24,0.9,33,59
11/27/2015,85,45,68,23,1,68,58
11/28/2015,112,68,97,22,1.1,103,52
11/29/2015,110,83,108,14,1.5,95,13
11/30/2015,179,135,155,30,1.9,106,74
12/1/2015,88,60,60,17,1,70,80
12/2/2015,107,80,110,23,1.1,62,58
12/3/2015,96,54,142,30,0.9,56,58
12/4/2015,79,48,94,36,1.1,63,47
12/5/2015,103,72,113,28,1.4,85,15
12/6/2015,135,103,154,31,1.6,77,27
12/7/2015,108,81,103,25,1.3,68,73
12/8/2015,78,32,51,16,0.7,62,74
12/9/2015,101,39,59,16,0.9,81,32
12/10/2015,74,41,56,14,1.3,59,21
12/11/2015,103,77,84,16,1,40,61
12/12/2015,79,46,66,21,0.9,63,56
12/13/2015,85,63,68,18,1,64,37
12/14/2015,196,147,185,41,1.5,77,58
12/15/2015,266,216,256,67,2.2,90,42
12/16/2015,92,68,93,36,1,54,52
12/17/2015,58,38,62,28,0.8,46,50
12/18/2015,90,47,64,26,1,72,40
12/19/2015,80,35,44,17,0.8,64,67
12/20/2015,92,49,47,15,1.1,73,30
12/21/2015,179,135,141,24,1.4,73,39
12/22/2015,119,90,108,21,1.3,86,20
12/23/2015,238,188,216,29,2.1,75,21
12/24/2015,77,56,68,16,1,53,61
12/25/2015,229,179,180,34,1.7,73,73
12/26/2015,144,110,108,30,1.5,90,50
12/27/2015,92,68,85,20,1.1,57,71
12/28/2015,53,34,56,16,0.7,33,73
12/29/2015,83,54,78,20,0.9,66,70
12/30/2015,122,92,128,28,1.4,96,57
12/31/2015,175,132,150,27,1.4,59,84
1/1/2016,79,58,71,17,0.9,60,81
1/2/2016,133,101,145,26,1.4,87,63
1/3/2016,207,157,187,28,1.8,127,33
1/4/2016,163,124,150,28,1.4,84,90
1/5/2016,53,25,29,13,0.6,28,103
1/6/2016,64,46,60,18,0.7,35,80
1/7/2016,100,75,97,25,1.1,62,59
1/8/2016,89,66,90,34,1,57,66
1/9/2016,147,112,129,41,1.3,83,90
1/10/2016,82,60,71,27,0.8,63,71
1/11/2016,63,45,59,17,0.7,35,83
1/12/2016,58,41,51,18,0.7,33,82
1/13/2016,158,120,128,40,1.5,67,44
1/14/2016,213,163,192,53,2.1,95,43
1/15/2016,188,141,171,44,1.7,106,63
1/16/2016,169,128,142,40,1.5,88,85
1/17/2016,109,82,124,21,1,42,93
1/18/2016,175,132,140,31,1.3,49,77
1/19/2016,110,83,95,32,1.1,46,77
1/20/2016,44,23,36,16,0.6,35,67
1/21/2016,40,15,24,12,0.6,32,59
1/22/2016,53,37,44,15,0.8,29,74
1/23/2016,57,40,55,22,0.8,24,75
1/24/2016,66,28,81,22,0.7,20,71
